"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Alkanindiges",0,170,0,1877,1,1
"Allexivirus",0,170,0,1877,1,1
"Alloacidobacterium",1,169,2,1875,0.229129201582681,1
"Alloactinosynnema",0,170,1,1876,1,1
"Alloalcanivorax",0,170,5,1872,1,1
"Allobacillus",0,170,1,1876,1,1
"Allobaculum",0,170,0,1877,1,1
"Allobranchiibius",6,164,17,1860,0.00918549563572179,0.175584281959759
"Allochromatium",1,169,2,1875,0.229129201582681,1
"Allocoleopsis",1,169,1,1876,0.159236915859511,1
"Allofrancisella",0,170,0,1877,1,1
"Allofustis",0,170,0,1877,1,1
"Alloiococcus",0,170,0,1877,1,1
"Allokutzneria",0,170,0,1877,1,1
"Allolevivirus",0,170,0,1877,1,1
"Allomeiothermus",0,170,0,1877,1,1
"Alloprevotella",0,170,0,1877,1,1
"Allorhizobium",0,170,1,1876,1,1
"Allosaccharopolyspora",0,170,0,1877,1,1
"Allosalinactinospora",0,170,0,1877,1,1
"Alloscardovia",0,170,0,1877,1,1
"Alphabaculovirus",0,170,1,1876,1,1
"Alphachrysovirus",0,170,0,1877,1,1
"Alphacoronavirus",0,170,0,1877,1,1
"Alphadrosrhavirus",0,170,0,1877,1,1
"Alphaendornavirus",0,170,0,1877,1,1
"Alphaentomopoxvirus",0,170,0,1877,1,1
"Alphafusarivirus",0,170,0,1877,1,1
"Alphafusellovirus",0,170,0,1877,1,1
"Alphahypovirus",0,170,0,1877,1,1
"Alphamesonivirus",0,170,0,1877,1,1
"Alphamononivirus",0,170,0,1877,1,1
"Alphanemrhavirus",0,170,0,1877,1,1
"Alphanudivirus",0,170,0,1877,1,1
"Alphapapillomavirus",5,165,8,1869,0.00276624686252909,0.0654678424131885
"Alphapartitivirus",0,170,6,1871,1,1
"Alphapolyomavirus",0,170,0,1877,1,1
"Alphaportoglobovirus",0,170,0,1877,1,1
"Alpharetrovirus",0,170,0,1877,1,1
"Alphasphaerolipovirus",0,170,0,1877,1,1
"Alphatorquevirus",0,170,2,1875,1,1
"Alphatrevirus",0,170,6,1871,1,1
"Alphaturrivirus",0,170,0,1877,1,1
"Alphavirus",0,170,0,1877,1,1
"Alteracholeplasma",0,170,2,1875,1,1
"Altererythrobacter",6,164,17,1860,0.00918549563572179,0.175584281959759
"Alternavirus",0,170,1,1876,1,1
"Alteromonas",1,169,17,1860,1,1
"Altibacter",0,170,0,1877,1,1
"Alysiella",3,167,0,1877,0.00056354438030912,0.016004660400779
"Amantichitinum",0,170,0,1877,1,1
"Ambidensovirus",0,170,0,1877,1,1
"Amdoparvovirus",0,170,0,1877,1,1
"Amedibacterium",0,170,5,1872,1,1
"Amigovirus",0,170,0,1877,1,1
"Aminiphilus",0,170,0,1877,1,1
"Aminipila",6,164,5,1872,9.7832471735175e-05,0.00324151589682547
"Aminithiophilus",0,170,5,1872,1,1
"Aminobacter",3,167,65,1812,0.367068836818058,1
"Aminobacterium",0,170,3,1874,1,1
"Aminomonas",0,170,0,1877,1,1
"Ammonifex",0,170,0,1877,1,1
"Amniculibacterium",2,168,0,1877,0.00685981105792947,0.1366952238416
