"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Allobranchiibius",0,64,23,1960,1,1
"Allochromatium",1,63,2,1981,0.0909368457010002,1
"Allocoleopsis",1,63,1,1982,0.0615678190098663,1
"Allofrancisella",0,64,0,1983,1,1
"Allofustis",0,64,0,1983,1,1
"Alloiococcus",0,64,0,1983,1,1
"Allokutzneria",0,64,0,1983,1,1
"Allolevivirus",0,64,0,1983,1,1
"Allomeiothermus",0,64,0,1983,1,1
"Alloprevotella",0,64,0,1983,1,1
"Allorhizobium",0,64,1,1982,1,1
"Allosaccharopolyspora",0,64,0,1983,1,1
"Allosalinactinospora",0,64,0,1983,1,1
"Alloscardovia",0,64,0,1983,1,1
"Alphabaculovirus",0,64,1,1982,1,1
"Alphachrysovirus",0,64,0,1983,1,1
"Alphacoronavirus",0,64,0,1983,1,1
"Alphadrosrhavirus",0,64,0,1983,1,1
"Alphaendornavirus",0,64,0,1983,1,1
"Alphaentomopoxvirus",0,64,0,1983,1,1
"Alphafusarivirus",0,64,0,1983,1,1
"Alphafusellovirus",0,64,0,1983,1,1
"Alphahypovirus",0,64,0,1983,1,1
"Alphamesonivirus",0,64,0,1983,1,1
"Alphamononivirus",0,64,0,1983,1,1
"Alphanemrhavirus",0,64,0,1983,1,1
"Alphanudivirus",0,64,0,1983,1,1
"Alphapapillomavirus",8,56,5,1978,6.67495686088889e-10,6.63490711972356e-07
"Alphapartitivirus",0,64,6,1977,1,1
"Alphapolyomavirus",0,64,0,1983,1,1
"Alphaportoglobovirus",0,64,0,1983,1,1
"Alpharetrovirus",0,64,0,1983,1,1
"Alphasphaerolipovirus",0,64,0,1983,1,1
"Alphatorquevirus",0,64,2,1981,1,1
"Alphatrevirus",0,64,6,1977,1,1
"Alphaturrivirus",0,64,0,1983,1,1
"Alphavirus",0,64,0,1983,1,1
"Alteracholeplasma",0,64,2,1981,1,1
"Altererythrobacter",0,64,23,1960,1,1
"Alternavirus",0,64,1,1982,1,1
"Alteromonas",1,63,17,1966,0.436837234118333,1
"Altibacter",0,64,0,1983,1,1
"Alysiella",0,64,3,1980,1,1
"Amantichitinum",0,64,0,1983,1,1
"Ambidensovirus",0,64,0,1983,1,1
"Amdoparvovirus",0,64,0,1983,1,1
"Amedibacterium",0,64,5,1978,1,1
"Amigovirus",0,64,0,1983,1,1
"Aminiphilus",0,64,0,1983,1,1
"Aminipila",1,63,10,1973,0.295508645354283,1
"Aminithiophilus",1,63,4,1979,0.146986740780584,1
"Aminobacter",5,59,63,1920,0.0585218959302118,1
"Aminobacterium",1,63,2,1981,0.0909368457010002,1
"Aminomonas",0,64,0,1983,1,1
"Ammonifex",0,64,0,1983,1,1
"Amniculibacterium",0,64,2,1981,1,1
"Amorphus",0,64,0,1983,1,1
"Amoyvirus",0,64,0,1983,1,1
"Ampelovirus",0,64,0,1983,1,1
"Amphibacillus",0,64,1,1982,1,1
"Amphritea",0,64,0,1983,1,1
"Ampullavirus",0,64,0,1983,1,1
"Amycolatopsis",1,63,44,1939,1,1
"Amycolicicoccus",0,64,0,1983,1,1
"Amylibacter",0,64,2,1981,1,1
"Amylolactobacillus",0,64,0,1983,1,1
"Anabaena",0,64,6,1977,1,1
"Anaeroarcus",0,64,0,1983,1,1
"Anaerobacillus",0,64,0,1983,1,1
"Anaerobaculum",0,64,0,1983,1,1
"Anaerobutyricum",0,64,64,1919,0.263930495985903,1
"Anaerococcus",4,60,59,1924,0.131531072767834,1
"Anaerocolumna",1,63,23,1960,0.535471658604525,1
"Anaerofustis",0,64,0,1983,1,1
"Anaerohalosphaera",0,64,0,1983,1,1
"Anaerolinea",1,63,0,1983,0.0312652662432828,1
"Anaeromicropila",0,64,9,1974,1,1
"Anaeromusa",0,64,0,1983,1,1
"Anaeromyxobacter",1,63,37,1946,1,1
"Anaeropeptidivorans",0,64,2,1981,1,1
"Anaerophaga",0,64,0,1983,1,1
"Anaerosalibacter",0,64,0,1983,1,1
"Anaerosporomusa",0,64,0,1983,1,1
"Anaerostipes",1,63,94,1889,0.364609360876275,1
"Anaerotignum",0,64,8,1975,1,1
"Anaerotruncus",1,63,55,1928,1,1
"Anaerovibrio",0,64,0,1983,1,1
"Anaerovorax",0,64,0,1983,1,1
"Anaplasma",0,64,0,1983,1,1
"Anaposvirus",0,64,0,1983,1,1
"Anatilimnocola",0,64,0,1983,1,1
"Anativirus",0,64,0,1983,1,1
"Anayavirus",0,64,0,1983,1,1
"Ancylobacter",5,59,39,1944,0.0108073236787847,1
"Andhravirus",0,64,1,1982,1,1
"Anditalea",0,64,0,1983,1,1
"Andreprevotia",0,64,0,1983,1,1
"Andromedalikevirus",0,64,0,1983,1,1
"Andromedavirus",0,64,0,1983,1,1
"Aneurinibacillus",1,63,1,1982,0.0615678190098663,1
"Angelvirus",0,64,0,1983,1,1
"Angustibacter",0,64,0,1983,1,1
"Annadreamyvirus",0,64,0,1983,1,1
"Anoxybacillus",1,63,2,1981,0.0909368457010002,1
"Anoxybacter",0,64,0,1983,1,1
"Anphevirus",0,64,0,1983,1,1
"Anseongella",1,63,2,1981,0.0909368457010002,1
"Antarcticibacterium",0,64,1,1982,1,1
"Antarctobacter",0,64,11,1972,1,1
"Antennavirus",0,64,0,1983,1,1
"Anthocerotibacter",0,64,1,1982,1,1
"Anulavirus",0,64,0,1983,1,1
"Aokuangvirus",0,64,0,1983,1,1
"Aparavirus",0,64,0,1983,1,1
"Aphanizomenon",0,64,0,1983,1,1
"Aphanocapsa",0,64,0,1983,1,1
"Aphthovirus",0,64,0,1983,1,1
"Apibacter",0,64,2,1981,1,1
"Apilactobacillus",0,64,2,1981,1,1
"Apscaviroid",0,64,0,1983,1,1
"Aptresvirus",0,64,0,1983,1,1
"Aqualcavirus",0,64,0,1983,1,1
"Aquamavirus",0,64,0,1983,1,1
"Aquamicrobium",0,64,0,1983,1,1
"Aquaparamyxovirus",0,64,0,1983,1,1
"Aquareovirus",0,64,0,1983,1,1
"Aquaspirillum",0,64,3,1980,1,1
"Aquella",0,64,0,1983,1,1
"Aquibium",0,64,42,1941,0.640410652117631,1
"Aquicella",0,64,0,1983,1,1
"Aquifex",0,64,0,1983,1,1
"Aquihabitans",1,63,5,1978,0.173721730295786,1
