"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Allomeiothermus",0,0,0,2047,1,1
"Alloprevotella",0,0,0,2047,1,1
"Allorhizobium",0,0,1,2046,1,1
"Allosaccharopolyspora",0,0,0,2047,1,1
"Allosalinactinospora",0,0,0,2047,1,1
"Alloscardovia",0,0,0,2047,1,1
"Alphabaculovirus",0,0,1,2046,1,1
"Alphachrysovirus",0,0,0,2047,1,1
"Alphacoronavirus",0,0,0,2047,1,1
"Alphadrosrhavirus",0,0,0,2047,1,1
"Alphaendornavirus",0,0,0,2047,1,1
"Alphaentomopoxvirus",0,0,0,2047,1,1
"Alphafusarivirus",0,0,0,2047,1,1
"Alphafusellovirus",0,0,0,2047,1,1
"Alphahypovirus",0,0,0,2047,1,1
"Alphamesonivirus",0,0,0,2047,1,1
"Alphamononivirus",0,0,0,2047,1,1
"Alphanemrhavirus",0,0,0,2047,1,1
"Alphanudivirus",0,0,0,2047,1,1
"Alphapapillomavirus",0,0,13,2034,1,1
"Alphapartitivirus",0,0,6,2041,1,1
"Alphapolyomavirus",0,0,0,2047,1,1
"Alphaportoglobovirus",0,0,0,2047,1,1
"Alpharetrovirus",0,0,0,2047,1,1
"Alphasphaerolipovirus",0,0,0,2047,1,1
"Alphatorquevirus",0,0,2,2045,1,1
"Alphatrevirus",0,0,6,2041,1,1
"Alphaturrivirus",0,0,0,2047,1,1
"Alphavirus",0,0,0,2047,1,1
"Alteracholeplasma",0,0,2,2045,1,1
"Altererythrobacter",0,0,23,2024,1,1
"Alternavirus",0,0,1,2046,1,1
"Alteromonas",0,0,18,2029,1,1
"Altibacter",0,0,0,2047,1,1
"Alysiella",0,0,3,2044,1,1
"Amantichitinum",0,0,0,2047,1,1
"Ambidensovirus",0,0,0,2047,1,1
"Amdoparvovirus",0,0,0,2047,1,1
"Amedibacterium",0,0,5,2042,1,1
"Amigovirus",0,0,0,2047,1,1
"Aminiphilus",0,0,0,2047,1,1
"Aminipila",0,0,11,2036,1,1
"Aminithiophilus",0,0,5,2042,1,1
"Aminobacter",0,0,68,1979,1,1
"Aminobacterium",0,0,3,2044,1,1
"Aminomonas",0,0,0,2047,1,1
"Ammonifex",0,0,0,2047,1,1
"Amniculibacterium",0,0,2,2045,1,1
"Amorphus",0,0,0,2047,1,1
"Amoyvirus",0,0,0,2047,1,1
"Ampelovirus",0,0,0,2047,1,1
"Amphibacillus",0,0,1,2046,1,1
"Amphritea",0,0,0,2047,1,1
"Ampullavirus",0,0,0,2047,1,1
"Amycolatopsis",0,0,45,2002,1,1
"Amycolicicoccus",0,0,0,2047,1,1
"Amylibacter",0,0,2,2045,1,1
"Amylolactobacillus",0,0,0,2047,1,1
"Anabaena",0,0,6,2041,1,1
"Anaeroarcus",0,0,0,2047,1,1
"Anaerobacillus",0,0,0,2047,1,1
"Anaerobaculum",0,0,0,2047,1,1
"Anaerobutyricum",0,0,64,1983,1,1
"Anaerococcus",0,0,63,1984,1,1
"Anaerocolumna",0,0,24,2023,1,1
"Anaerofustis",0,0,0,2047,1,1
"Anaerohalosphaera",0,0,0,2047,1,1
"Anaerolinea",0,0,1,2046,1,1
"Anaeromicropila",0,0,9,2038,1,1
"Anaeromusa",0,0,0,2047,1,1
"Anaeromyxobacter",0,0,38,2009,1,1
"Anaeropeptidivorans",0,0,2,2045,1,1
"Anaerophaga",0,0,0,2047,1,1
"Anaerosalibacter",0,0,0,2047,1,1
"Anaerosporomusa",0,0,0,2047,1,1
"Anaerostipes",0,0,95,1952,1,1
"Anaerotignum",0,0,8,2039,1,1
"Anaerotruncus",0,0,56,1991,1,1
"Anaerovibrio",0,0,0,2047,1,1
"Anaerovorax",0,0,0,2047,1,1
"Anaplasma",0,0,0,2047,1,1
"Anaposvirus",0,0,0,2047,1,1
"Anatilimnocola",0,0,0,2047,1,1
"Anativirus",0,0,0,2047,1,1
"Anayavirus",0,0,0,2047,1,1
"Ancylobacter",0,0,44,2003,1,1
"Andhravirus",0,0,1,2046,1,1
"Anditalea",0,0,0,2047,1,1
"Andreprevotia",0,0,0,2047,1,1
"Andromedalikevirus",0,0,0,2047,1,1
"Andromedavirus",0,0,0,2047,1,1
"Aneurinibacillus",0,0,2,2045,1,1
"Angelvirus",0,0,0,2047,1,1
"Angustibacter",0,0,0,2047,1,1
"Annadreamyvirus",0,0,0,2047,1,1
"Anoxybacillus",0,0,3,2044,1,1
"Anoxybacter",0,0,0,2047,1,1
"Anphevirus",0,0,0,2047,1,1
"Anseongella",0,0,3,2044,1,1
"Antarcticibacterium",0,0,1,2046,1,1
"Antarctobacter",0,0,11,2036,1,1
"Antennavirus",0,0,0,2047,1,1
"Anthocerotibacter",0,0,1,2046,1,1
"Anulavirus",0,0,0,2047,1,1
"Aokuangvirus",0,0,0,2047,1,1
"Aparavirus",0,0,0,2047,1,1
"Aphanizomenon",0,0,0,2047,1,1
"Aphanocapsa",0,0,0,2047,1,1
"Aphthovirus",0,0,0,2047,1,1
"Apibacter",0,0,2,2045,1,1
"Apilactobacillus",0,0,2,2045,1,1
"Apscaviroid",0,0,0,2047,1,1
"Aptresvirus",0,0,0,2047,1,1
"Aqualcavirus",0,0,0,2047,1,1
"Aquamavirus",0,0,0,2047,1,1
"Aquamicrobium",0,0,0,2047,1,1
"Aquaparamyxovirus",0,0,0,2047,1,1
"Aquareovirus",0,0,0,2047,1,1
"Aquaspirillum",0,0,3,2044,1,1
"Aquella",0,0,0,2047,1,1
"Aquibium",0,0,42,2005,1,1
"Aquicella",0,0,0,2047,1,1
"Aquifex",0,0,0,2047,1,1
"Aquihabitans",0,0,6,2041,1,1
"Aquiluna",0,0,0,2047,1,1
"Aquimarina",0,0,1,2046,1,1
"Aquincola",0,0,51,1996,1,1
"Aquirhabdus",0,0,1,2046,1,1
"Aquirufa",0,0,0,2047,1,1
"Aquisalimonas",0,0,2,2045,1,1
"Aquisediminimonas",0,0,11,2036,1,1
"Aquisphaera",0,0,9,2038,1,1
"Aquitalea",0,0,13,2034,1,1
"Arachidicoccus",0,0,1,2046,1,1
"Arachnia",0,0,28,2019,1,1
"Arcanobacterium",0,0,4,2043,1,1
"Archaeoglobus",0,0,0,2047,1,1
"Archangium",0,0,23,2024,1,1
"Arcobacter",0,0,6,2041,1,1
"Arcticibacter",0,0,0,2047,1,1
"Arcticibacterium",0,0,0,2047,1,1
"Ardenticatena",0,0,0,2047,1,1
"Arenavirus",0,0,0,2047,1,1
"Arenibacter",0,0,0,2047,1,1
"Arenimonas",0,0,0,2047,1,1
"Arenitalea",0,0,0,2047,1,1
"Arepavirus",0,0,0,2047,1,1
"Aresaunavirus",0,0,0,2047,1,1
"Arhodomonas",0,0,0,2047,1,1
"Aristophania",0,0,0,2047,1,1
"Aromatoleum",0,0,28,2019,1,1
"Arsenicicoccus",0,0,2,2045,1,1
"Arsenophonus",0,0,0,2047,1,1
"Arsukibacterium",0,0,0,2047,1,1
"Arterivirus",0,0,0,2047,1,1
"Arthrospira",0,0,0,2047,1,1
"Asaia",0,0,0,2047,1,1
"Asanoa",0,0,0,2047,1,1
"Ascovirus",0,0,0,2047,1,1
"Asfivirus",0,0,0,2047,1,1
"Asteriusvirus",0,0,0,2047,1,1
"Atadenovirus",0,0,0,2047,1,1
"Athalassotoga",0,0,0,2047,1,1
"Atlantibacter",0,0,0,2047,1,1
"Atopobium",0,0,3,2044,1,1
"Atribacter",0,0,0,2047,1,1
"Attisvirus",0,0,0,2047,1,1
"Audreyjarvisvirus",0,0,0,2047,1,1
"Aurantiacibacter",0,0,19,2028,1,1
"Aurantimicrobium",0,0,0,2047,1,1
"Aureibaculum",0,0,0,2047,1,1
"Aureimonas",0,0,49,1998,1,1
"Aureispira",0,0,0,2047,1,1
"Aureliella",0,0,1,2046,1,1
"Auritidibacter",0,0,0,2047,1,1
"Aurivirus",0,0,0,2047,1,1
"Aurodevirus",0,0,3,2044,1,1
"Aurunvirus",0,0,0,2047,1,1
"Austintatiousvirus",0,0,0,2047,1,1
"Austwickia",0,0,0,2047,1,1
"Avastrovirus",0,0,0,2047,1,1
"Aveparvovirus",0,0,0,2047,1,1
"Aviadenovirus",0,0,0,2047,1,1
"Avibacterium",0,0,4,2043,1,1
"Avihepadnavirus",0,0,0,2047,1,1
"Avihepatovirus",0,0,0,2047,1,1
"Avipoxvirus",0,0,0,2047,1,1
"Avocadovirus",0,0,0,2047,1,1
"Avulavirus",0,0,0,2047,1,1
"Avunavirus",0,0,0,2047,1,1
"Azohydromonas",0,0,0,2047,1,1
"Azonexus",0,0,0,2047,1,1
"Azorhizobium",0,0,15,2032,1,1
"Azorudivirus",0,0,0,2047,1,1
"Azospirillum",0,0,50,1997,1,1
"Azotobacter",0,0,34,2013,1,1
"Azovibrio",0,0,0,2047,1,1
"Babuvirus",0,0,0,2047,1,1
"Bacilladnavirus",0,0,0,2047,1,1
"Bacillarnavirus",0,0,0,2047,1,1
"Backyardiganvirus",0,0,0,2047,1,1
"Bacterioplanes",0,0,0,2047,1,1
"Bacterioplanoides",0,0,0,2047,1,1
"Bacteriovorax",0,0,0,2047,1,1
"Bacteroides",0,0,644,1403,1,1
"Badnavirus",0,0,0,2047,1,1
"Baekduia",0,0,5,2042,1,1
"Bafinivirus",0,0,0,2047,1,1
"Baikalvirus",0,0,0,2047,1,1
"Balneatrix",0,0,0,2047,1,1
"Balneola",0,0,0,2047,1,1
"Baltivirus",0,0,0,2047,1,1
"Banmivirus",0,0,0,2047,1,1
"Baoshanvirus",0,0,0,2047,1,1
"Barbavirus",0,0,0,2047,1,1
"Barnavirus",0,0,0,2047,1,1
"Barnesiella",0,0,34,2013,1,1
"Barnyardlikevirus",0,0,0,2047,1,1
