"Genus","crc_pos","crc_neg","other_pos","other_neg","p_value"
"Caenibius",0,189,18,1840,0.40113482880854
"Dermabacter",0,189,18,1840,0.40113482880854
"Bulleidia",5,184,35,1823,0.410455508988142
"Chromobacterium",5,184,36,1822,0.421600849780594
"Aquincola",6,183,45,1813,0.464847874501184
"Dechloromonas",3,186,50,1808,0.475475470189054
"Candidatus.Purcelliella",3,186,53,1805,0.479168749558877
"Chitinophaga",7,182,52,1806,0.489815626945472
"Clavibacter",1,188,6,1852,0.492961606581305
"Desulfomicrobium",1,188,6,1852,0.492961606581305
"Chitinimonas",1,188,27,1831,0.508684525219917
"Aliarcobacter",1,188,7,1851,0.539937222442155
"Carnobacterium",1,188,7,1851,0.539937222442155
"Anaeromyxobacter",2,187,36,1822,0.573591914244646
"Crassaminicella",1,188,8,1850,0.582581589758698
"Buchnera",76,113,791,1067,0.588728454934447
"Aggregatibacter",11,178,93,1765,0.601775432450407
"Actinosynnema",0,189,10,1848,0.612894604830196
"Caldicellulosiruptor",0,189,10,1848,0.612894604830196
"Candidatus.Koribacter",0,189,10,1848,0.612894604830196
"Cobetia",0,189,10,1848,0.612894604830196
"Antarctobacter",0,189,11,1847,0.613483719570023
"Aquisediminimonas",0,189,11,1847,0.613483719570023
"Bergeyella",0,189,11,1847,0.613483719570023
"Chitinibacter",0,189,11,1847,0.613483719570023
"Celeribacter",0,189,12,1846,0.617280539613539
"Cognatishimia",0,189,12,1846,0.617280539613539
"Croceibacterium",0,189,12,1846,0.617280539613539
"Alphapapillomavirus",0,189,13,1845,0.623690542041797
"Aquitalea",0,189,13,1845,0.623690542041797
"Brucepastera",0,189,13,1845,0.623690542041797
"Acidiphilium",0,189,14,1844,0.632200982093949
"Casimicrobium",0,189,14,1844,0.632200982093949
"Chitinolyticbacter",0,189,14,1844,0.632200982093949
"Defluviicoccus",0,189,14,1844,0.632200982093949
"Cystobacter",1,188,24,1834,0.723068145904712
"Candidatus.Phytoplasma",3,186,43,1815,0.795064208238348
"Candidatus.Karelsulcia",39,150,398,1460,0.852532601534601
"Acetoanaerobium",0,189,4,1854,1
"Acetobacterium",0,189,4,1854,1
"Acidiferrobacter",0,189,9,1849,1
"Acidilutibacter",0,189,3,1855,1
"Acidipropionibacterium",0,189,4,1854,1
"Acidisoma",0,189,3,1855,1
"Actinoalloteichus",0,189,6,1852,1
"Actinotignum",2,187,19,1839,1
"Acuticoccus",0,189,3,1855,1
"Adhaeribacter",0,189,3,1855,1
"Algoriphagus",0,189,3,1855,1
"Alkalibacter",0,189,3,1855,1
"Alkaliflexus",0,189,4,1854,1
"Alloacidobacterium",0,189,3,1855,1
"Allochromatium",0,189,3,1855,1
"Alphapartitivirus",0,189,6,1852,1
"Alysiella",0,189,3,1855,1
"Aminobacterium",0,189,3,1855,1
"Anabaena",0,189,6,1852,1
"Anoxybacillus",0,189,3,1855,1
"Anseongella",0,189,3,1855,1
"Aquaspirillum",0,189,3,1855,1
"Aquihabitans",0,189,6,1852,1
"Aquisphaera",0,189,9,1849,1
"Arcobacter",0,189,6,1852,1
"Atopobium",0,189,3,1855,1
"Barrientosiimonas",0,189,3,1855,1
"Blastococcus",0,189,6,1852,1
"Bombilactobacillus",0,189,3,1855,1
"Brenneria",0,189,3,1855,1
"Breoghania",0,189,4,1854,1
"Caldinitratiruptor",0,189,4,1854,1
"Calothrix",0,189,4,1854,1
"Caminicella",0,189,3,1855,1
"Candidatus.Blochmannia",0,189,3,1855,1
"Candidatus.Symbiobacter",0,189,4,1854,1
"Cedecea",0,189,4,1854,1
"Cellulophaga",0,189,3,1855,1
"Cellulosilyticum",0,189,3,1855,1
"Cellvibrio",0,189,3,1855,1
"Chlorobaculum",0,189,6,1852,1
"Chloroherpeton",0,189,3,1855,1
"Christiangramia",0,189,3,1855,1
"Chromohalobacter",0,189,3,1855,1
"Citricoccus",0,189,3,1855,1
"Companilactobacillus",0,189,4,1854,1
"Conchiformibius",0,189,4,1854,1
"Cronobacter",0,189,9,1849,1
"Cryptobacterium",0,189,4,1854,1
"Cytobacillus",0,189,3,1855,1
"Desulfocurvibacter",0,189,4,1854,1
"Aalivirus",0,189,0,1858,1
"Abidjanvirus",0,189,0,1858,1
"Abyssalbus",0,189,2,1856,1
"Abyssibius",0,189,0,1858,1
"Abyssicoccus",0,189,0,1858,1
"Acadianvirus",0,189,0,1858,1
"Acaricomes",0,189,0,1858,1
"Acaryochloris",0,189,0,1858,1
"Aceticella",0,189,0,1858,1
"Acetilactobacillus",0,189,0,1858,1
"Acetivibrio",0,189,8,1850,1
"Acetohalobium",0,189,0,1858,1
"Acetomicrobium",0,189,2,1856,1
"Acetonema",0,189,0,1858,1
"Acholeplasma",0,189,2,1856,1
"Acidianus",0,189,0,1858,1
"Acidibacillus",0,189,0,1858,1
"Acidibrevibacterium",0,189,1,1857,1
"Acididesulfobacillus",0,189,0,1858,1
"Acidihalobacter",0,189,1,1857,1
"Acidilobus",0,189,0,1858,1
"Acidimicrobium",0,189,0,1858,1
"Acidiplasma",0,189,0,1858,1
"Acidisarcina",0,189,0,1858,1
"Acidithrix",0,189,0,1858,1
"Acidobacterium",0,189,0,1858,1
"Acidocella",0,189,2,1856,1
"Aciduliprofundum",0,189,0,1858,1
"Actibacterium",0,189,1,1857,1
"Actinacidiphila",0,189,0,1858,1
"Actinobacillus",1,188,12,1846,1
"Actinobaculum",0,189,0,1858,1
"Actinokineospora",0,189,1,1857,1
"Actinomarinicola",0,189,2,1856,1
"Actinomycetospora",0,189,0,1858,1
"Actinopolymorpha",0,189,0,1858,1
"Actinopolyspora",0,189,2,1856,1
"Actinospica",0,189,0,1858,1
"Actinotalea",0,189,0,1858,1
"Actinovirus",0,189,0,1858,1
"Adhaeretor",0,189,0,1858,1
"Advenella",0,189,2,1856,1
"Aegicerativicinus",0,189,0,1858,1
"Aeoliella",0,189,0,1858,1
"Aequoribacter",0,189,2,1856,1
"Aequorivita",0,189,2,1856,1
"Aeribacillus",0,189,0,1858,1
"Aerococcus",1,188,16,1842,1
"Aeropyrum",0,189,0,1858,1
"Aerosticca",0,189,5,1853,1
"Aestuariibacter",0,189,0,1858,1
"Aestuariimicrobium",0,189,0,1858,1
"Aestuariispira",0,189,2,1856,1
"Aestuariivita",0,189,0,1858,1
"Afifella",0,189,0,1858,1
"Agarilytica",0,189,0,1858,1
"Agarivorans",0,189,0,1858,1
"Ageyesisatellite",0,189,0,1858,1
"Aggregatimonas",0,189,1,1857,1
"Agreia",0,189,0,1858,1
"Agricanvirus",0,189,0,1858,1
"Agrococcus",0,189,5,1853,1
"Agtrevirus",0,189,0,1858,1
"Ahjdlikevirus",0,189,0,1858,1
"Ahniella",0,189,0,1858,1
"Ahrensia",0,189,0,1858,1
"Ahtivirus",0,189,0,1858,1
"Alcanivorax",0,189,0,1858,1
"Alcyoneusvirus",0,189,0,1858,1
