"Genus","cancer_pos","cancer_neg","other_pos","other_neg","p_value","p_adjusted"
"Alloactinosynnema",0,149,1,1897,1,1
"Alloalcanivorax",0,149,5,1893,1,1
"Allobacillus",1,148,0,1898,0.0727894479726428,1
"Allobaculum",0,149,0,1898,1,1
"Allobranchiibius",0,149,23,1875,0.406034490564566,1
"Allochromatium",0,149,3,1895,1,1
"Allocoleopsis",0,149,2,1896,1,1
"Allofrancisella",0,149,0,1898,1,1
"Allofustis",0,149,0,1898,1,1
"Alloiococcus",0,149,0,1898,1,1
"Allokutzneria",0,149,0,1898,1,1
"Allolevivirus",0,149,0,1898,1,1
"Allomeiothermus",0,149,0,1898,1,1
"Alloprevotella",0,149,0,1898,1,1
"Allorhizobium",0,149,1,1897,1,1
"Allosaccharopolyspora",0,149,0,1898,1,1
"Allosalinactinospora",0,149,0,1898,1,1
"Alloscardovia",0,149,0,1898,1,1
"Alphabaculovirus",1,148,0,1898,0.0727894479726428,1
"Alphachrysovirus",0,149,0,1898,1,1
"Alphacoronavirus",0,149,0,1898,1,1
"Alphadrosrhavirus",0,149,0,1898,1,1
"Alphaendornavirus",0,149,0,1898,1,1
"Alphaentomopoxvirus",0,149,0,1898,1,1
"Alphafusarivirus",0,149,0,1898,1,1
"Alphafusellovirus",0,149,0,1898,1,1
"Alphahypovirus",0,149,0,1898,1,1
"Alphamesonivirus",0,149,0,1898,1,1
"Alphamononivirus",0,149,0,1898,1,1
"Alphanemrhavirus",0,149,0,1898,1,1
"Alphanudivirus",0,149,0,1898,1,1
"Alphapapillomavirus",0,149,13,1885,0.616644203174883,1
"Alphapartitivirus",0,149,6,1892,1,1
"Alphapolyomavirus",0,149,0,1898,1,1
"Alphaportoglobovirus",0,149,0,1898,1,1
"Alpharetrovirus",0,149,0,1898,1,1
"Alphasphaerolipovirus",0,149,0,1898,1,1
"Alphatorquevirus",0,149,2,1896,1,1
"Alphatrevirus",0,149,6,1892,1,1
"Alphaturrivirus",0,149,0,1898,1,1
"Alphavirus",0,149,0,1898,1,1
"Alteracholeplasma",2,147,0,1898,0.00526531686214621,0.239215619155341
"Altererythrobacter",1,148,22,1876,1,1
"Alternavirus",0,149,1,1897,1,1
"Alteromonas",0,149,18,1880,0.636321961619585,1
"Altibacter",0,149,0,1898,1,1
"Alysiella",0,149,3,1895,1,1
"Amantichitinum",0,149,0,1898,1,1
"Ambidensovirus",0,149,0,1898,1,1
"Amdoparvovirus",0,149,0,1898,1,1
"Amedibacterium",0,149,5,1893,1,1
"Amigovirus",0,149,0,1898,1,1
"Aminiphilus",0,149,0,1898,1,1
"Aminipila",2,147,9,1889,0.188205376303883,1
"Aminithiophilus",2,147,3,1895,0.0454813155129772,1
"Aminobacter",1,148,67,1831,0.0578333620782889,1
"Aminobacterium",2,147,1,1897,0.0150389808272841,0.574951805473862
"Aminomonas",0,149,0,1898,1,1
"Ammonifex",0,149,0,1898,1,1
"Amniculibacterium",0,149,2,1896,1,1
"Amorphus",0,149,0,1898,1,1
"Amoyvirus",0,149,0,1898,1,1
"Ampelovirus",0,149,0,1898,1,1
"Amphibacillus",0,149,1,1897,1,1
"Amphritea",0,149,0,1898,1,1
"Ampullavirus",0,149,0,1898,1,1
"Amycolatopsis",2,147,43,1855,0.768792986270489,1
"Amycolicicoccus",0,149,0,1898,1,1
"Amylibacter",0,149,2,1896,1,1
"Amylolactobacillus",0,149,0,1898,1,1
"Anabaena",0,149,6,1892,1,1
"Anaeroarcus",0,149,0,1898,1,1
"Anaerobacillus",0,149,0,1898,1,1
"Anaerobaculum",0,149,0,1898,1,1
"Anaerobutyricum",4,145,60,1838,1,1
"Anaerococcus",3,146,60,1838,0.621776904218808,1
"Anaerocolumna",3,146,21,1877,0.25194854416368,1
"Anaerofustis",0,149,0,1898,1,1
"Anaerohalosphaera",0,149,0,1898,1,1
"Anaerolinea",0,149,1,1897,1,1
"Anaeromicropila",3,146,6,1892,0.0229155552316867,0.843631922233208
"Anaeromusa",0,149,0,1898,1,1
"Anaeromyxobacter",2,147,36,1862,1,1
"Anaeropeptidivorans",1,148,1,1897,0.14031357908314,1
"Anaerophaga",0,149,0,1898,1,1
"Anaerosalibacter",0,149,0,1898,1,1
"Anaerosporomusa",0,149,0,1898,1,1
"Anaerostipes",8,141,87,1811,0.683763545873546,1
"Anaerotignum",1,148,7,1891,0.454293177458647,1
"Anaerotruncus",3,146,53,1845,0.794666512830476,1
"Anaerovibrio",0,149,0,1898,1,1
"Anaerovorax",0,149,0,1898,1,1
"Anaplasma",0,149,0,1898,1,1
"Anaposvirus",0,149,0,1898,1,1
"Anatilimnocola",0,149,0,1898,1,1
"Anativirus",0,149,0,1898,1,1
"Anayavirus",0,149,0,1898,1,1
"Ancylobacter",0,149,44,1854,0.0713884990142226,1
"Andhravirus",0,149,1,1897,1,1
"Anditalea",0,149,0,1898,1,1
"Andreprevotia",0,149,0,1898,1,1
"Andromedalikevirus",0,149,0,1898,1,1
